Age,EdLevel,Employment,WorkExp,YearsCode,DevType,ICorPM,RemoteWork,Industry,Country,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd,income_tier,orgsize_log
29.5,5.0,0,8.0,14.0,"Developer, mobile",1.0,Remote,Fintech,UKR,3.0,2.0,61256.0,2.0,4.085976312551584
59.5,5.0,0,40.0,46.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)",Computer Systems Design and Services,DEU,3.0,4.0,99773.0,3.0,9.903487552536127
29.5,4.0,0,2.0,5.0,"Developer, full-stack",0.0,Remote,Healthcare,USA,7.0,2.0,85000.0,3.0,9.903487552536127
39.5,5.0,0,17.0,18.0,"Developer, back-end",0.0,Remote,Fintech,PRT,5.0,2.0,145018.0,3.0,4.085976312551584
39.5,4.0,0,20.0,25.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,AUS,5.0,3.0,100765.0,3.0,8.006200887093147
39.5,6.0,0,20.0,25.0,"Senior executive (C-suite, VP, etc.)",1.0,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,FRA,3.0,,232029.0,3.0,4.085976312551584
49.5,2.0,0,28.0,28.0,"Developer, full-stack",0.0,Remote,Software Development,USA,8.0,3.0,215000.0,3.0,4.085976312551584
29.5,4.0,0,11.0,11.0,"Developer, full-stack",1.0,In-person,Software Development,IND,7.0,3.0,9299.0,1.0,9.903487552536127
29.5,5.0,0,4.0,10.0,"Developer, full-stack",0.0,"Your choice (very flexible, you can come in when you want or just as needed)","Transportation, or Supply Chain",IND,4.0,2.0,20923.0,1.0,9.903487552536127
21.0,1.0,0,3.0,10.0,"Developer, full-stack",0.0,In-person,Software Development,GBR,10.0,2.0,34035.0,3.0,4.085976312551584
29.5,4.0,1,13.0,20.0,"Developer, back-end",,,"Internet, Telecomm or Information Services",SVK,4.0,3.0,90491.0,3.0,
21.0,4.0,0,2.0,6.0,"Developer, full-stack",0.0,Remote,Other:,POL,7.0,1.0,26198.0,3.0,4.085976312551584
39.5,2.0,1,15.0,15.0,"Developer, desktop or enterprise applications",,,Software Development,PAK,7.0,4.0,6000.0,1.0,
29.5,4.0,0,8.0,5.0,"Developer, desktop or enterprise applications",0.0,In-person,Other:,GBR,6.0,1.0,36758.0,3.0,4.085976312551584
39.5,4.0,0,14.0,21.0,"Developer, back-end",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,HUN,5.0,5.0,52050.0,3.0,5.702114417555504
77.5,4.0,1,28.0,35.0,"Developer, back-end",,,Healthcare,CAN,1.0,,145917.0,3.0,
29.5,4.0,0,4.0,7.0,DevOps engineer or professional,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,BEL,9.0,3.0,51511.0,3.0,4.085976312551584
29.5,5.0,0,12.0,17.0,"Developer, embedded applications or devices",0.0,"Hybrid (some remote, leans heavy to in-person)",Government,GBR,11.0,2.0,98158.0,3.0,5.702114417555504
29.5,5.0,0,5.0,12.0,"Developer, full-stack",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,FRA,7.0,4.0,55687.0,3.0,5.702114417555504
39.5,5.0,0,12.0,18.0,"Developer, back-end",0.0,"Hybrid (some remote, leans heavy to in-person)",Software Development,CZE,,,56167.0,3.0,9.903487552536127
49.5,5.0,0,26.0,40.0,Data scientist,0.0,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,NLD,6.0,2.0,89868.0,3.0,9.903487552536127
29.5,1.0,0,1.0,2.0,"Developer, desktop or enterprise applications",0.0,In-person,Software Development,RUS,2.0,2.0,19139.0,3.0,5.702114417555504
